author,title,year,opening_line
Elena Ferrante,The Lying Life of Adults,2020,Two years before leaving home my father said to my mother that I was very ugly.
Jasper Fforde,The Eyre Affair,2001,My father had a face that could stop a clock.
Henry Fielding,Joseph Andrews,1742,It is a trite but true observation that examples work more forcibly on the mind than precepts.
Carrie Fisher,Postcards from the Edge,1987,"Maybe I shouldn’t have given the guy who pumped my stomach my phone number, but who cares? My life is over anyway."
Carrie Fisher,The Best Awful There Is,2004,"Suzanne Vale had a problem, and it was the one she least liked thinking about: She’d had a child with someone who forgot to tell her he was gay."
F. Scott Fitzgerald,This Side of Paradise,1920,"Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while."
F. Scott Fitzgerald,The Great Gatsby,1925,"In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since. “Whenever you feel like criticizing any one,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.”"
F. Scott Fitzgerald,The Last Tycoon,1941,Though I haven’t ever been on the screen I was brought up in pictures. Rudolph Valentino came to my fifth birthday party—or so I was told.
Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,1987,"The Whistle Stop Cafe opened up last week, right next door to me at the post office, and owners Idgie Threadgoode and Ruth Jamison said business has been good ever since. Idgie says that for people who know her not to worry about getting poisoned, she is not cooking."
Judith Flanders,A Cast of Vultures,2017,"There was every possibility that I was dead, and my brain hadn’t got the memo. Or maybe it was that I wished I were dead. On reflection, that was more likely."
Ian Fleming,Casino Royale,1953,The scent and smoke and sweat of a casino are nauseating at three in the morning. Then the soul-erosion produced by high gambling–a compost of greed and fear and nervous tension–becomes unbearable and the senses awake [sic] and revolt from it.
Gillian Flynn,Dark Places,2009,"I have a meanness inside of me, real as an organ. Slit me at my belly and it might slide out, meaty and dark, drop on the floor so you could stomp on it. It’s the Day blood. Something’s wrong with it. I was never a good little girl, and I got worse after the murders."
Gillian Flynn,Gone Girl,2012,"When I think of my wife, I always think of her head. The shape of it, to begin with. The very first time I saw her, it was the back of the head I saw, and there was something lovely about it, the angles of it. Like a shiny, hard corn kernel or a riverbed fossil. She had what the Victorians would call a finely shaped head. You could imagine the skull quite easily. I’d know her head anywhere."
Gillian Flynn,The Grownup,2014,I didn’t stop giving hand jobs because I wasn’t good at it. I stopped giving hand jobs because I was the best at it.
Vince Flynn,Term Limits,1997,"The old wood cabin sat alone, surrounded by trees and darkness. The shades were drawn, and a dog lay motionless on the front porch. A thin stream of smoke flowed out of the chimney and headed west, across the rural Maryland countryside toward Washington, D.C. Inside, a man sat silently in front of the fireplace, shoving stacks of paper into the hot flames."
Ken Follett,The Key to Rebecca,1980,The last camel collapsed at noon.
Ken Follett,The Pillars of the Earth,1989,The small boys came early to the hanging.
Ken Follett,The Armor of Light,2023,"Until that day, Sal Clitheroe had never heard her husband scream. After that day, she never heard it again, except in dreams."
Richard Ford,Wildlife,1990,"In the fall of 1960, when I was 16 and my father was for a time not working, my mother met a man named Warren Miller and fell in love with him."
Richard Ford,Canada,2012,"First, I’ll tell about the robbery our parents committed. Then about the murders, which happened later. The robbery is the more important part, since it served to set my and my sister’s lives on the courses they eventually followed. Nothing would make complete sense without that being told first."
C. S. Forester,The African Queen,1935,"Although she herself was ill enough to justify being in bed had she been a person weak minded enough to give up, Rose Sayer could see that her brother, the Reverend Samuel Sayer, was far more ill."
C. S. Forester,The Beat to Quarters,1937,"It was not long after dawn that Captain Hornblower came up on the quarterdeck of the Lydia. Bush, the first lieutenant, was officer of the watch, and touched his hat but did not speak to him; in a voyage which had by now lasted seven months without touching land he had learned something of his captain’s likes and dislikes. During this first hour of the day the captain was not to be spoken to, nor his train of thought interrupted."
Karen Joy Fowler,The Jane Austen Book Club,2004,Each of us has a private Austen.
John Fowles,The Collector,1963,"When she was home from her boarding-school I used to see her every day sometimes, because their house was right opposite the Town Hall Annexe. She and her younger sister used to go in and out a lot, often with young men, which of course I didn’t like."
Dick Francis,Proof,1985,Agony is socially unacceptable. One is not supposed to weep. Particularly is one not supposed to weep when one is moderately presentable and thirty-two. When one’s wife has been dead six months and everyone else has done grieving.
Dick Francis,Straight,1989,"I inherited my brother’s life. Inherited his desk, his business, his gadgets, his enemies, his horses and his mistress. I inherited my brother’s life, and it nearly killed me."
Jonathan Franzen,The Corrections,2001,The madness of an autumn prairie cold front coming through. You could feel it: something terrible was going to happen.
Jonathan Franzen,Strong Motion,2010,"Sometimes when people asked Eileen Holland if she had any brothers or sisters, she had to think for a moment."
Jonathan Franzen,Crossroads,2021,"The sky broken by the bare oaks and elms of New Prospect was full of moist promise, a pair of frontal systems grayly colluding to deliver a White Christmas, when Russ Hildebrandt made his morning rounds among the homes of bedridden and senile parishioners in his Plymouth Fury wagon."
Charles Frazier,Cold Mountain,1997,"At the first gesture of morning, flies began stirring. Inman’s eyes and the long wound at his neck drew them, and the sound of their wings and the touch of their feet were soon more potent than a handful of roosters in rousing a man to wake."
Marilyn French,The Women’s Room,1977,Mira was hiding in the ladies’ room.
James Frey,Next to Heaven,2025,Devon often dreamed of punching her husband in the face. She didn’t necessarily want to hurt him. And he often didn’t do anything to deserve it. She was just tired of him.
